frame	cX	cY	area	minI	maxI	meanI	video
1	2725	988	19.5	177.0	248.0	199.42424242424244	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2472	989	21.0	0.0	225.0	194.07894736842104	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	804	987	31.0	0.0	232.0	193.7111111111111	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	550	990	30.5	177.0	246.0	193.18181818181816	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	334	989	24.5	177.0	225.0	196.09259259259258	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	301	988	36.5	0.0	233.0	195.65	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2224	990	15.0	177.0	230.0	195.7	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	875	989	41.5	0.0	227.0	185.45901639344262	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	876	989	20.5	0.0	203.0	171.51724137931035	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2430	990	17.0	180.0	231.0	203.85714285714286	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2582	990	53.0	177.0	230.0	199.60000000000002	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2543	990	25.0	177.0	235.0	195.9787234042553	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2761	990	54.5	0.0	233.0	190.01162790697674	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2145	991	33.0	177.0	228.0	192.15254237288136	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	731	990	76.0	177.0	232.0	197.95575221238937	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	514	990	50.5	103.0	248.0	189.2235294117647	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	404	991	17.5	0.0	233.0	191.45714285714286	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2799	992	70.0	0.0	247.0	196.22	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	229	990	85.0	0.0	234.0	200.38793103448276	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2586	1000	17.5	177.0	230.0	195.3170731707317	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2479	998	23.0	177.0	242.0	198.75	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	345	998	34.0	0.0	232.0	197.1090909090909	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	296	994	31.5	177.0	253.0	196.2741935483871	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	880	999	52.0	177.0	241.0	194.58695652173913	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	772	995	82.5	0.0	251.0	196.5681818181818	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2695	1002	77.5	0.0	255.0	198.36842105263156	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	630	1000	121.5	0.0	254.0	195.1176470588235	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2797	1008	31.0	177.0	237.0	197.234375	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	832	1005	74.5	0.0	246.0	190.990099009901	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
1	2768	1011	28.0	177.0	223.0	194.61363636363637	/Users/oakley/Documents/GitHub/lunar/notebooks/out_11_cl_34500_34650.mkv
