frame	cX	cY	area	minI	maxI	meanI	video
1302	28	248	35.5	152.0	251.0	190.66037735849056	/Users/oakley/Downloads/out_01.mp4
1665	2993	29	89.0	152.0	255.0	215.21698113207546	/Users/oakley/Downloads/out_01.mp4
1664	2992	30	79.0	151.0	255.0	212.46315789473684	/Users/oakley/Downloads/out_01.mp4
1663	2991	31	32.5	151.0	243.0	191.0	/Users/oakley/Downloads/out_01.mp4
1663	1276	43	23.0	152.0	240.0	194.52941176470588	/Users/oakley/Downloads/out_01.mp4
1666	2994	28	29.5	153.0	255.0	209.66666666666666	/Users/oakley/Downloads/out_01.mp4
1666	1278	39	54.5	151.0	255.0	211.9142857142857	/Users/oakley/Downloads/out_01.mp4
1975	1653	183	24.5	152.0	207.0	179.02777777777777	/Users/oakley/Downloads/out_01.mp4
1974	1653	182	38.0	152.0	221.0	178.59615384615387	/Users/oakley/Downloads/out_01.mp4
1977	1652	183	21.5	152.0	244.0	190.0	/Users/oakley/Downloads/out_01.mp4
1978	1651	183	29.0	151.0	255.0	188.57500000000002	/Users/oakley/Downloads/out_01.mp4
2115	3440	55	16.5	154.0	255.0	210.5769230769231	/Users/oakley/Downloads/out_01.mp4
2555	635	272	26.0	151.0	219.0	173.83333333333331	/Users/oakley/Downloads/out_01.mp4
6246	1986	238	42.5	151.0	235.0	184.08620689655172	/Users/oakley/Downloads/out_01.mp4
6247	1988	239	15.0	152.0	195.0	171.83333333333331	/Users/oakley/Downloads/out_01.mp4
8284	2211	133	29.0	154.0	253.0	205.55	/Users/oakley/Downloads/out_01.mp4
11979	1397	163	29.0	151.0	180.0	166.15	/Users/oakley/Downloads/out_01.mp4
11982	1396	162	30.5	151.0	198.0	170.54761904761904	/Users/oakley/Downloads/out_01.mp4
11980	1396	164	68.0	151.0	251.0	201.51162790697674	/Users/oakley/Downloads/out_01.mp4
11980	3174	169	17.0	154.0	242.0	187.3846153846154	/Users/oakley/Downloads/out_01.mp4
