frame	cX	cY	area	minI	maxI	meanI	video
30422	196	112	87.5	151.0	255.0	206.40540540540542	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
30421	197	111	82.5	151.0	255.0	207.3269230769231	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
33312	2806	234	11.5	153.0	238.0	191.21052631578945	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
36089	670	216	25.5	151.0	232.0	183.2222222222222	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
36090	671	218	10.0	152.0	244.0	176.94444444444443	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
38502	185	171	22.5	159.0	239.0	194.36363636363637	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
39823	3085	111	11.0	152.0	255.0	216.26315789473682	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
41821	196	173	23.0	151.0	232.0	183.47058823529412	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
43986	1323	123	24.5	151.0	209.0	175.85714285714286	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
44041	2388	214	14.0	153.0	218.0	186.0	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
44042	2387	214	10.0	152.0	233.0	190.58823529411765	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
44705	2331	147	13.0	151.0	253.0	192.14285714285714	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
51597	2317	146	10.0	165.0	255.0	204.94444444444443	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
51599	2317	146	13.0	153.0	255.0	207.4	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
51598	2317	146	11.5	153.0	253.0	194.05263157894737	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_00.mp4
55302	28	248	35.5	152.0	251.0	190.66037735849056	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_01.mp4
55303	29	248	10.5	151.0	218.0	167.9047619047619	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_01.mp4
55664	2992	30	79.0	151.0	255.0	212.46315789473684	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_01.mp4
