frame	cX	cY	area	minI	maxI	meanI	video
13981	3819	51	17.0	158.0	243.0	193.3846153846154	/Users/oakley/Downloads/out_11.mp4
17698	1004	142	40.5	152.0	255.0	191.56896551724137	/Users/oakley/Downloads/out_11.mp4
17699	1003	141	45.5	151.0	255.0	189.69841269841268	/Users/oakley/Downloads/out_11.mp4
17756	1277	64	15.0	158.0	214.0	203.52	/Users/oakley/Downloads/out_11.mp4
18338	3831	4	41.0	154.0	255.0	216.47272727272727	/Users/oakley/Downloads/out_11.mp4
19451	307	102	16.5	151.0	208.0	177.8	/Users/oakley/Downloads/out_11.mp4
19453	305	101	81.0	151.0	255.0	203.85185185185185	/Users/oakley/Downloads/out_11.mp4
19452	303	100	109.0	150.0	255.0	199.40441176470588	/Users/oakley/Downloads/out_11.mp4
19454	306	101	58.0	152.0	255.0	210.86666666666667	/Users/oakley/Downloads/out_11.mp4
23766	2304	117	38.0	151.0	215.0	183.46938775510202	/Users/oakley/Downloads/out_11.mp4
23766	547	202	38.0	154.0	236.0	193.88	/Users/oakley/Downloads/out_11.mp4
29916	795	101	24.0	152.0	228.0	184.52777777777777	/Users/oakley/Downloads/out_11.mp4
29917	795	101	34.5	151.0	245.0	190.82608695652172	/Users/oakley/Downloads/out_11.mp4
34550	2748	84	17.0	152.0	255.0	212.46153846153848	/Users/oakley/Downloads/out_11.mp4
34549	2748	83	15.5	154.0	255.0	205.83333333333331	/Users/oakley/Downloads/out_11.mp4
34551	2748	84	18.0	153.0	217.0	181.2222222222222	/Users/oakley/Downloads/out_11.mp4
34553	2747	85	20.5	153.0	229.0	189.7	/Users/oakley/Downloads/out_11.mp4
34554	2746	85	20.0	151.0	249.0	195.3793103448276	/Users/oakley/Downloads/out_11.mp4
34554	1034	118	23.0	151.0	239.0	187.11764705882354	/Users/oakley/Downloads/out_11.mp4
34555	2746	86	24.0	152.0	255.0	204.35294117647058	/Users/oakley/Downloads/out_11.mp4
34555	1034	119	24.0	152.0	235.0	190.4722222222222	/Users/oakley/Downloads/out_11.mp4
34557	2745	87	26.5	151.0	255.0	203.57894736842104	/Users/oakley/Downloads/out_11.mp4
34557	1033	120	25.0	151.0	254.0	187.97142857142856	/Users/oakley/Downloads/out_11.mp4
34556	2746	87	24.0	151.0	255.0	205.9142857142857	/Users/oakley/Downloads/out_11.mp4
34556	1034	120	23.0	151.0	254.0	198.35294117647058	/Users/oakley/Downloads/out_11.mp4
34558	2745	87	21.0	166.0	255.0	208.16129032258064	/Users/oakley/Downloads/out_11.mp4
34558	1032	121	31.0	154.0	229.0	186.92857142857142	/Users/oakley/Downloads/out_11.mp4
34559	2744	88	23.5	151.0	255.0	210.14705882352942	/Users/oakley/Downloads/out_11.mp4
34559	1031	121	30.0	151.0	255.0	192.97560975609755	/Users/oakley/Downloads/out_11.mp4
34561	2743	87	30.0	153.0	254.0	192.8048780487805	/Users/oakley/Downloads/out_11.mp4
34561	1030	120	33.5	151.0	221.0	182.51111111111112	/Users/oakley/Downloads/out_11.mp4
34560	2743	88	26.0	153.0	255.0	193.67567567567568	/Users/oakley/Downloads/out_11.mp4
34560	1031	122	40.5	151.0	228.0	183.3846153846154	/Users/oakley/Downloads/out_11.mp4
34562	2741	88	21.5	151.0	208.0	176.93548387096774	/Users/oakley/Downloads/out_11.mp4
34562	1029	121	38.0	151.0	247.0	193.8	/Users/oakley/Downloads/out_11.mp4
34563	2741	88	27.0	151.0	245.0	196.13513513513516	/Users/oakley/Downloads/out_11.mp4
34563	1028	121	36.5	151.0	240.0	185.98039215686273	/Users/oakley/Downloads/out_11.mp4
34564	2740	88	33.0	151.0	255.0	205.15217391304347	/Users/oakley/Downloads/out_11.mp4
34564	1028	121	22.0	157.0	244.0	188.625	/Users/oakley/Downloads/out_11.mp4
34566	2737	88	29.5	152.0	255.0	213.14285714285714	/Users/oakley/Downloads/out_11.mp4
34566	1025	121	35.0	155.0	255.0	199.5	/Users/oakley/Downloads/out_11.mp4
34565	2738	87	25.5	153.0	255.0	216.7837837837838	/Users/oakley/Downloads/out_11.mp4
34565	1026	121	39.5	155.0	255.0	201.0754716981132	/Users/oakley/Downloads/out_11.mp4
34567	2736	86	19.0	151.0	255.0	206.5806451612903	/Users/oakley/Downloads/out_11.mp4
34567	1024	120	32.0	151.0	255.0	204.43478260869566	/Users/oakley/Downloads/out_11.mp4
34568	2734	86	25.5	151.0	255.0	204.71052631578945	/Users/oakley/Downloads/out_11.mp4
