frame	cX	cY	area	minI	maxI	meanI	video
26824	892	90	6.0	114.0	165.0	253.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26826	893	92	12.0	122.0	179.0	244.78947368421052	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26825	892	91	13.5	111.0	179.0	246.38095238095238	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26829	893	91	15.5	112.0	179.0	246.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26834	893	92	11.0	117.0	179.0	246.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26833	893	92	11.0	117.0	179.0	246.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26830	893	91	14.0	111.0	179.0	244.82608695652172	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26828	893	91	14.0	119.0	179.0	241.27272727272728	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26832	893	91	15.0	116.0	179.0	242.43478260869566	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26831	893	91	12.0	130.0	178.0	245.45000000000002	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26827	893	91	13.0	119.0	179.0	245.09523809523807	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26842	892	91	4.5	111.0	177.0	232.8	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26841	892	91	1.5	118.0	173.0	254.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26837	893	91	12.5	122.0	179.0	242.8	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26840	892	91	3.5	115.0	151.0	250.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26836	893	91	10.5	117.0	178.0	250.42105263157893	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
26835	893	91	7.5	118.0	179.0	247.85714285714283	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_experimental/041225PA_experimental_part04.mp4
