frame	cX	cY	area	minI	maxI	meanI	video
47204	934	53	2.0	128.0	155.0	238.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47207	934	53	7.0	131.0	179.0	248.61538461538464	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47209	934	53	10.0	112.0	179.0	251.11764705882354	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47206	934	54	6.0	111.0	179.0	240.0769230769231	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47210	934	53	12.5	112.0	179.0	244.65	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47208	934	53	8.0	131.0	178.0	248.07142857142856	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47205	934	53	4.5	116.0	179.0	229.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47213	934	53	12.0	112.0	179.0	244.15789473684208	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47211	934	53	12.5	112.0	179.0	244.65	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47216	934	53	9.5	112.0	179.0	237.875	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47212	934	53	12.0	112.0	179.0	244.15789473684208	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47217	935	52	5.5	112.0	178.0	242.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47214	934	53	11.0	112.0	178.0	240.88888888888889	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47215	934	53	8.5	112.0	178.0	241.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47218	935	52	5.5	112.0	178.0	242.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47222	935	52	4.5	112.0	176.0	225.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47225	934	52	3.5	132.0	164.0	106.125	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47223	934	52	3.5	139.0	164.0	138.75	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47224	934	52	3.5	139.0	164.0	138.75	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47220	935	52	5.5	112.0	179.0	237.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47221	935	52	5.5	112.0	179.0	237.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47219	935	52	5.5	112.0	179.0	237.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47228	935	52	2.0	135.0	156.0	159.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47226	934	52	3.5	132.0	164.0	106.125	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47227	934	52	3.5	132.0	164.0	106.125	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47230	934	52	2.5	129.0	169.0	216.28571428571428	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47239	932	116	1.5	112.0	149.0	180.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47238	932	116	1.5	112.0	149.0	180.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47861	917	147	5.0	113.0	163.0	249.27272727272728	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47864	916	147	3.5	112.0	169.0	131.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
47867	916	146	1.5	129.0	180.0	235.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/12Apr25/041225PA_control/041225PA_control_part05.mp4
