frame	cX	cY	area	minI	maxI	meanI	video
2	2724	988	28.0	0.0	222.0	189.1951219512195	/Users/oakley/Downloads/out_11.mp4
2	804	988	15.5	176.0	217.0	188.2142857142857	/Users/oakley/Downloads/out_11.mp4
2	2760	989	25.5	176.0	255.0	198.3846153846154	/Users/oakley/Downloads/out_11.mp4
2	2616	988	27.0	179.0	236.0	202.0	/Users/oakley/Downloads/out_11.mp4
2	518	989	62.0	0.0	235.0	198.61363636363637	/Users/oakley/Downloads/out_11.mp4
2	446	990	39.5	0.0	245.0	201.5737704918033	/Users/oakley/Downloads/out_11.mp4
2	2470	989	30.5	0.0	244.0	199.22727272727272	/Users/oakley/Downloads/out_11.mp4
2	548	990	26.5	178.0	223.0	199.57777777777778	/Users/oakley/Downloads/out_11.mp4
2	621	989	20.5	176.0	247.0	200.86842105263156	/Users/oakley/Downloads/out_11.mp4
2	2436	991	50.5	0.0	255.0	201.56976744186045	/Users/oakley/Downloads/out_11.mp4
2	299	990	66.0	0.0	254.0	199.2072072072072	/Users/oakley/Downloads/out_11.mp4
2	2791	992	55.5	0.0	249.0	200.8695652173913	/Users/oakley/Downloads/out_11.mp4
2	2760	997	32.0	0.0	224.0	191.57142857142856	/Users/oakley/Downloads/out_11.mp4
2	880	994	42.5	0.0	240.0	192.25333333333336	/Users/oakley/Downloads/out_11.mp4
2	559	994	32.5	176.0	245.0	200.24615384615385	/Users/oakley/Downloads/out_11.mp4
2	2656	995	33.0	176.0	255.0	193.42222222222222	/Users/oakley/Downloads/out_11.mp4
2	2479	1000	20.5	180.0	245.0	206.0285714285714	/Users/oakley/Downloads/out_11.mp4
2	2370	996	52.5	0.0	249.0	196.32558139534885	/Users/oakley/Downloads/out_11.mp4
2	371	994	55.0	0.0	237.0	198.74666666666667	/Users/oakley/Downloads/out_11.mp4
2	227	993	63.0	176.0	255.0	201.04629629629628	/Users/oakley/Downloads/out_11.mp4
2	2689	994	86.5	0.0	244.0	195.96296296296296	/Users/oakley/Downloads/out_11.mp4
2	2800	1000	47.5	0.0	255.0	198.1125	/Users/oakley/Downloads/out_11.mp4
2	2147	994	94.0	0.0	231.0	195.63768115942028	/Users/oakley/Downloads/out_11.mp4
2	552	1005	22.0	178.0	238.0	200.74358974358972	/Users/oakley/Downloads/out_11.mp4
2	258	998	72.0	0.0	255.0	195.53508771929825	/Users/oakley/Downloads/out_11.mp4
2	2584	997	91.5	0.0	229.0	192.013698630137	/Users/oakley/Downloads/out_11.mp4
2	2473	1007	23.0	0.0	224.0	194.76315789473682	/Users/oakley/Downloads/out_11.mp4
2	775	999	53.5	176.0	232.0	196.11111111111111	/Users/oakley/Downloads/out_11.mp4
2	342	998	61.5	0.0	246.0	197.34951456310677	/Users/oakley/Downloads/out_11.mp4
2	630	1001	97.5	0.0	244.0	197.3006993006993	/Users/oakley/Downloads/out_11.mp4
2	2540	1000	141.5	0.0	253.0	196.27450980392157	/Users/oakley/Downloads/out_11.mp4
2	2402	1001	90.5	0.0	238.0	195.0354609929078	/Users/oakley/Downloads/out_11.mp4
2	2293	1001	111.5	0.0	235.0	194.17919075144508	/Users/oakley/Downloads/out_11.mp4
2	616	1003	66.0	176.0	236.0	195.39423076923077	/Users/oakley/Downloads/out_11.mp4
2	376	1011	56.0	176.0	233.0	205.07692307692307	/Users/oakley/Downloads/out_11.mp4
2	804	1015	31.5	0.0	230.0	191.70454545454547	/Users/oakley/Downloads/out_11.mp4
2	481	998	99.5	176.0	255.0	199.1025641025641	/Users/oakley/Downloads/out_11.mp4
2	2335	1004	118.5	0.0	250.0	196.0632183908046	/Users/oakley/Downloads/out_11.mp4
2	725	1003	105.0	0.0	255.0	197.2405063291139	/Users/oakley/Downloads/out_11.mp4
2	725	1004	16.5	0.0	207.0	177.20000000000002	/Users/oakley/Downloads/out_11.mp4
2	881	1012	52.5	176.0	244.0	198.52747252747255	/Users/oakley/Downloads/out_11.mp4
2	738	1001	149.5	0.0	249.0	197.21359223300968	/Users/oakley/Downloads/out_11.mp4
2	663	1004	155.0	0.0	229.0	196.15270935960592	/Users/oakley/Downloads/out_11.mp4
2	2796	1015	112.0	0.0	255.0	196.775	/Users/oakley/Downloads/out_11.mp4
2	2759	1016	52.5	0.0	228.0	189.23595505617976	/Users/oakley/Downloads/out_11.mp4
2	2687	1016	58.0	176.0	219.0	189.24137931034483	/Users/oakley/Downloads/out_11.mp4
2	2474	1017	46.5	0.0	219.0	191.65277777777777	/Users/oakley/Downloads/out_11.mp4
2	2435	1018	36.0	176.0	222.0	196.56896551724137	/Users/oakley/Downloads/out_11.mp4
2	2149	1016	63.0	0.0	228.0	192.40625	/Users/oakley/Downloads/out_11.mp4
2	873	1019	27.0	176.0	225.0	202.63636363636365	/Users/oakley/Downloads/out_11.mp4
2	443	1007	115.0	0.0	244.0	195.3558282208589	/Users/oakley/Downloads/out_11.mp4
2	331	1013	67.0	0.0	233.0	193.5181818181818	/Users/oakley/Downloads/out_11.mp4
2	2656	1017	81.0	0.0	255.0	194.58878504672896	/Users/oakley/Downloads/out_11.mp4
2	2582	1018	29.5	176.0	228.0	193.21052631578945	/Users/oakley/Downloads/out_11.mp4
2	2551	1007	110.5	0.0	237.0	195.09677419354838	/Users/oakley/Downloads/out_11.mp4
2	2366	1014	64.0	176.0	239.0	197.36607142857142	/Users/oakley/Downloads/out_11.mp4
2	2322	1007	112.0	0.0	255.0	198.86904761904762	/Users/oakley/Downloads/out_11.mp4
2	2256	1004	595.0	0.0	251.0	154.08474576271186	/Users/oakley/Downloads/out_11.mp4
2	2256	1003	317.5	0.0	244.0	122.38133333333333	/Users/oakley/Downloads/out_11.mp4
2	2223	1008	139.0	0.0	249.0	191.54450261780107	/Users/oakley/Downloads/out_11.mp4
2	2184	1005	215.0	0.0	244.0	195.7269938650307	/Users/oakley/Downloads/out_11.mp4
2	840	1005	193.0	0.0	244.0	194.21404682274246	/Users/oakley/Downloads/out_11.mp4
2	841	1018	26.0	0.0	204.0	183.1707317073171	/Users/oakley/Downloads/out_11.mp4
2	767	1015	65.0	176.0	255.0	195.77685950413223	/Users/oakley/Downloads/out_11.mp4
2	554	1019	21.5	176.0	244.0	195.14583333333331	/Users/oakley/Downloads/out_11.mp4
2	520	1013	75.5	175.0	255.0	196.89380530973452	/Users/oakley/Downloads/out_11.mp4
2	409	1003	263.0	0.0	255.0	196.71978021978023	/Users/oakley/Downloads/out_11.mp4
2	303	1016	64.5	0.0	236.0	198.6326530612245	/Users/oakley/Downloads/out_11.mp4
2	269	1006	158.0	0.0	255.0	196.97169811320754	/Users/oakley/Downloads/out_11.mp4
2	232	1015	70.5	0.0	246.0	194.31067961165047	/Users/oakley/Downloads/out_11.mp4
1	804	988	16.5	176.0	217.0	187.23333333333332	/Users/oakley/Downloads/out_11.mp4
1	2761	989	24.5	176.0	255.0	199.14000000000001	/Users/oakley/Downloads/out_11.mp4
1	2617	988	19.0	176.0	242.0	205.06896551724137	/Users/oakley/Downloads/out_11.mp4
1	548	990	24.0	176.0	222.0	199.9230769230769	/Users/oakley/Downloads/out_11.mp4
1	518	989	62.0	0.0	235.0	198.61363636363637	/Users/oakley/Downloads/out_11.mp4
1	446	989	39.5	0.0	245.0	200.91935483870967	/Users/oakley/Downloads/out_11.mp4
1	2470	989	30.5	0.0	244.0	199.22727272727272	/Users/oakley/Downloads/out_11.mp4
1	621	989	20.5	176.0	247.0	200.86842105263156	/Users/oakley/Downloads/out_11.mp4
1	2436	991	50.0	0.0	255.0	201.8235294117647	/Users/oakley/Downloads/out_11.mp4
1	299	990	66.0	0.0	254.0	199.2072072072072	/Users/oakley/Downloads/out_11.mp4
1	879	991	27.0	176.0	240.0	193.70689655172413	/Users/oakley/Downloads/out_11.mp4
1	2791	992	55.5	0.0	249.0	200.8695652173913	/Users/oakley/Downloads/out_11.mp4
1	2760	997	32.0	0.0	224.0	191.57142857142856	/Users/oakley/Downloads/out_11.mp4
1	2478	1000	18.5	178.0	255.0	205.3030303030303	/Users/oakley/Downloads/out_11.mp4
1	843	993	76.0	0.0	255.0	198.12396694214877	/Users/oakley/Downloads/out_11.mp4
1	559	993	37.0	0.0	250.0	200.1875	/Users/oakley/Downloads/out_11.mp4
1	2656	995	33.0	176.0	255.0	193.42222222222222	/Users/oakley/Downloads/out_11.mp4
1	2370	996	52.5	0.0	249.0	196.32558139534885	/Users/oakley/Downloads/out_11.mp4
1	2289	991	46.5	0.0	223.0	196.31944444444443	/Users/oakley/Downloads/out_11.mp4
1	371	993	65.0	0.0	239.0	198.2967032967033	/Users/oakley/Downloads/out_11.mp4
1	227	993	68.0	176.0	235.0	200.50442477876106	/Users/oakley/Downloads/out_11.mp4
1	2689	994	88.5	0.0	244.0	194.8705035971223	/Users/oakley/Downloads/out_11.mp4
1	2801	1000	44.0	0.0	232.0	196.37179487179486	/Users/oakley/Downloads/out_11.mp4
1	2147	993	83.5	176.0	231.0	197.296875	/Users/oakley/Downloads/out_11.mp4
1	258	998	72.0	0.0	255.0	195.53508771929825	/Users/oakley/Downloads/out_11.mp4
1	2584	997	87.5	0.0	235.0	192.15328467153284	/Users/oakley/Downloads/out_11.mp4
1	2473	1007	23.0	0.0	224.0	194.76315789473682	/Users/oakley/Downloads/out_11.mp4
1	775	998	59.0	176.0	231.0	195.3960396039604	/Users/oakley/Downloads/out_11.mp4
1	342	998	61.5	0.0	246.0	197.34951456310677	/Users/oakley/Downloads/out_11.mp4
1	630	1001	97.5	0.0	244.0	197.3006993006993	/Users/oakley/Downloads/out_11.mp4
1	553	1006	22.0	178.0	243.0	198.83333333333331	/Users/oakley/Downloads/out_11.mp4
1	2539	1000	138.0	0.0	253.0	196.09950248756218	/Users/oakley/Downloads/out_11.mp4
1	2402	1001	92.0	0.0	238.0	194.73426573426573	/Users/oakley/Downloads/out_11.mp4
1	2321	1004	94.0	0.0	255.0	200.35971223021585	/Users/oakley/Downloads/out_11.mp4
1	2295	1007	63.0	0.0	235.0	192.96875	/Users/oakley/Downloads/out_11.mp4
1	725	1002	96.5	0.0	255.0	197.31884057971016	/Users/oakley/Downloads/out_11.mp4
1	725	1004	16.5	0.0	207.0	177.20000000000002	/Users/oakley/Downloads/out_11.mp4
1	616	1003	66.0	176.0	236.0	194.98076923076925	/Users/oakley/Downloads/out_11.mp4
1	481	998	96.0	176.0	255.0	198.49664429530202	/Users/oakley/Downloads/out_11.mp4
1	376	1011	53.5	178.0	235.0	204.75	/Users/oakley/Downloads/out_11.mp4
1	804	1014	26.0	0.0	230.0	192.33333333333331	/Users/oakley/Downloads/out_11.mp4
1	2335	1004	114.5	0.0	250.0	195.40697674418604	/Users/oakley/Downloads/out_11.mp4
1	881	1012	49.0	176.0	244.0	196.80898876404493	/Users/oakley/Downloads/out_11.mp4
1	738	1001	147.5	0.0	249.0	197.2941176470588	/Users/oakley/Downloads/out_11.mp4
1	2223	1008	136.0	0.0	240.0	191.3368983957219	/Users/oakley/Downloads/out_11.mp4
1	2796	1015	119.5	0.0	255.0	196.1556886227545	/Users/oakley/Downloads/out_11.mp4
1	2759	1016	48.5	176.0	228.0	190.19540229885058	/Users/oakley/Downloads/out_11.mp4
1	2474	1017	46.5	0.0	219.0	191.65277777777777	/Users/oakley/Downloads/out_11.mp4
1	2151	1016	51.0	176.0	226.0	193.05263157894737	/Users/oakley/Downloads/out_11.mp4
1	767	1014	47.0	176.0	255.0	198.23595505617976	/Users/oakley/Downloads/out_11.mp4
1	663	1004	154.0	0.0	229.0	195.97058823529412	/Users/oakley/Downloads/out_11.mp4
1	444	1005	108.0	0.0	246.0	195.6948051948052	/Users/oakley/Downloads/out_11.mp4
1	333	1014	79.5	0.0	233.0	194.27692307692308	/Users/oakley/Downloads/out_11.mp4
1	306	1013	37.5	0.0	233.0	200.28070175438594	/Users/oakley/Downloads/out_11.mp4
1	269	1005	156.0	0.0	255.0	196.739336492891	/Users/oakley/Downloads/out_11.mp4
1	232	1015	67.0	0.0	246.0	195.14141414141415	/Users/oakley/Downloads/out_11.mp4
1	2687	1016	59.0	176.0	219.0	189.65060240963857	/Users/oakley/Downloads/out_11.mp4
1	2656	1017	80.5	0.0	255.0	196.53636363636363	/Users/oakley/Downloads/out_11.mp4
1	2661	1015	16.0	0.0	242.0	186.29166666666666	/Users/oakley/Downloads/out_11.mp4
1	2582	1018	30.0	178.0	228.0	193.5892857142857	/Users/oakley/Downloads/out_11.mp4
1	2551	1007	110.5	0.0	237.0	195.09677419354838	/Users/oakley/Downloads/out_11.mp4
1	2436	1019	33.5	176.0	221.0	197.0377358490566	/Users/oakley/Downloads/out_11.mp4
1	2366	1014	64.5	176.0	239.0	197.36936936936937	/Users/oakley/Downloads/out_11.mp4
1	2327	1019	17.0	176.0	211.0	192.65384615384616	/Users/oakley/Downloads/out_11.mp4
1	2256	1004	589.5	0.0	251.0	153.38975155279502	/Users/oakley/Downloads/out_11.mp4
1	2256	1003	320.5	0.0	244.0	121.26063829787233	/Users/oakley/Downloads/out_11.mp4
1	2184	1005	213.0	0.0	244.0	194.95962732919253	/Users/oakley/Downloads/out_11.mp4
1	873	1019	27.5	178.0	225.0	200.7142857142857	/Users/oakley/Downloads/out_11.mp4
1	836	1012	77.5	175.0	235.0	193.4466666666667	/Users/oakley/Downloads/out_11.mp4
1	552	1019	20.0	176.0	238.0	196.3658536585366	/Users/oakley/Downloads/out_11.mp4
1	520	1013	76.5	175.0	255.0	197.3223140495868	/Users/oakley/Downloads/out_11.mp4
1	409	1003	259.5	0.0	255.0	197.23756906077347	/Users/oakley/Downloads/out_11.mp4
3	2724	987	38.0	0.0	238.0	195.05882352941177	/Users/oakley/Downloads/out_11.mp4
3	2760	989	27.0	176.0	255.0	197.47272727272727	/Users/oakley/Downloads/out_11.mp4
3	2616	987	35.0	0.0	236.0	201.02083333333331	/Users/oakley/Downloads/out_11.mp4
3	446	989	41.0	0.0	245.0	200.55555555555554	/Users/oakley/Downloads/out_11.mp4
3	2470	989	30.5	0.0	244.0	199.22727272727272	/Users/oakley/Downloads/out_11.mp4
3	548	990	26.5	178.0	223.0	199.57777777777778	/Users/oakley/Downloads/out_11.mp4
3	517	989	66.0	0.0	250.0	197.34693877551018	/Users/oakley/Downloads/out_11.mp4
3	621	989	26.5	0.0	252.0	200.72093023255815	/Users/oakley/Downloads/out_11.mp4
3	2436	991	50.5	0.0	255.0	201.56976744186045	/Users/oakley/Downloads/out_11.mp4
3	300	990	68.5	0.0	254.0	199.02631578947367	/Users/oakley/Downloads/out_11.mp4
3	2790	993	51.0	176.0	249.0	202.3258426966292	/Users/oakley/Downloads/out_11.mp4
3	2760	997	32.0	0.0	224.0	191.57142857142856	/Users/oakley/Downloads/out_11.mp4
