frame	cX	cY	area	minI	maxI	meanI	video
1302	29	249	18.5	180.0	251.0	213.33333333333334	/Users/oakley/Downloads/out_01.mp4
1664	2992	30	62.5	178.0	255.0	223.67948717948718	/Users/oakley/Downloads/out_01.mp4
1664	1276	41	88.5	176.0	255.0	229.188679245283	/Users/oakley/Downloads/out_01.mp4
1666	2994	28	23.0	178.0	255.0	222.72727272727272	/Users/oakley/Downloads/out_01.mp4
1666	1278	39	42.0	176.0	255.0	224.44642857142856	/Users/oakley/Downloads/out_01.mp4
1665	2993	28	71.5	179.0	255.0	226.71264367816093	/Users/oakley/Downloads/out_01.mp4
1663	2991	31	20.5	178.0	243.0	206.55172413793102	/Users/oakley/Downloads/out_01.mp4
1663	1276	43	15.0	176.0	240.0	206.58333333333331	/Users/oakley/Downloads/out_01.mp4
1974	1653	182	17.0	179.0	221.0	196.8846153846154	/Users/oakley/Downloads/out_01.mp4
1978	1651	183	17.0	176.0	255.0	204.92000000000002	/Users/oakley/Downloads/out_01.mp4
6246	1987	239	19.0	178.0	235.0	206.41379310344828	/Users/oakley/Downloads/out_01.mp4
8284	2211	133	20.5	178.0	253.0	218.48387096774192	/Users/oakley/Downloads/out_01.mp4
11980	1396	163	50.5	178.0	251.0	212.77272727272728	/Users/oakley/Downloads/out_01.mp4
11981	1396	163	55.5	178.0	252.0	210.29577464788733	/Users/oakley/Downloads/out_01.mp4
24804	1545	381	17.5	179.0	247.0	217.33333333333331	/Users/oakley/Downloads/out_01.mp4
24805	1547	386	19.5	180.0	250.0	214.9310344827586	/Users/oakley/Downloads/out_01.mp4
30161	2611	60	16.5	176.0	255.0	220.44	/Users/oakley/Downloads/out_01.mp4
30160	2612	59	16.0	176.0	255.0	223.83333333333331	/Users/oakley/Downloads/out_01.mp4
37117	1928	56	44.0	180.0	255.0	221.84745762711864	/Users/oakley/Downloads/out_01.mp4
37117	229	184	59.0	176.0	255.0	217.57333333333335	/Users/oakley/Downloads/out_01.mp4
37118	1926	55	86.5	178.0	255.0	229.71698113207546	/Users/oakley/Downloads/out_01.mp4
37118	227	183	96.5	181.0	255.0	229.72033898305085	/Users/oakley/Downloads/out_01.mp4
37121	1923	52	67.5	176.0	255.0	230.7142857142857	/Users/oakley/Downloads/out_01.mp4
37121	223	180	86.5	176.0	255.0	229.0666666666667	/Users/oakley/Downloads/out_01.mp4
37119	1925	54	88.0	180.0	255.0	230.99056603773585	/Users/oakley/Downloads/out_01.mp4
37120	226	182	19.0	181.0	255.0	223.6551724137931	/Users/oakley/Downloads/out_01.mp4
39443	1640	150	28.5	176.0	229.0	195.48837209302326	/Users/oakley/Downloads/out_01.mp4
40569	1559	145	17.0	176.0	224.0	200.1923076923077	/Users/oakley/Downloads/out_01.mp4
42300	2949	268	17.0	178.0	252.0	218.0	/Users/oakley/Downloads/out_01.mp4
42822	3071	102	31.5	179.0	255.0	231.0	/Users/oakley/Downloads/out_01.mp4
42821	3072	102	37.0	176.0	255.0	226.83673469387753	/Users/oakley/Downloads/out_01.mp4
47319	2702	22	31.0	176.0	255.0	222.11627906976744	/Users/oakley/Downloads/out_01.mp4
47319	964	68	58.0	176.0	255.0	213.0	/Users/oakley/Downloads/out_01.mp4
47318	2703	23	16.5	179.0	255.0	221.12	/Users/oakley/Downloads/out_01.mp4
47318	966	69	25.0	176.0	255.0	227.5	/Users/oakley/Downloads/out_01.mp4
48357	2676	35	23.5	176.0	255.0	213.0	/Users/oakley/Downloads/out_01.mp4
48355	2679	35	30.5	179.0	255.0	219.1707317073171	/Users/oakley/Downloads/out_01.mp4
48754	2719	54	17.5	179.0	253.0	221.14814814814812	/Users/oakley/Downloads/out_01.mp4
48867	355	164	19.5	176.0	216.0	194.9655172413793	/Users/oakley/Downloads/out_01.mp4
49138	2858	196	26.0	179.0	255.0	215.69444444444443	/Users/oakley/Downloads/out_01.mp4
49291	2829	203	15.5	180.0	255.0	220.33333333333331	/Users/oakley/Downloads/out_01.mp4
