frame	cX	cY	area	minI	maxI	meanI	video
34546	1037	114	11.0	151.0	217.0	180.9	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34551	2748	84	17.0	152.0	255.0	212.46153846153848	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34551	1035	115	11.5	157.0	255.0	211.68421052631578	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34548	2749	81	11.5	151.0	255.0	210.3157894736842	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34548	1036	114	14.5	151.0	255.0	208.04545454545456	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34550	2748	83	15.5	154.0	255.0	205.83333333333331	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34550	1036	115	14.0	151.0	255.0	207.4090909090909	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34547	2749	81	10.5	165.0	255.0	213.66666666666666	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34547	1036	114	12.5	158.0	255.0	200.3	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34560	2744	88	23.5	151.0	255.0	210.14705882352942	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34560	1031	121	30.0	151.0	255.0	192.97560975609755	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34558	2745	87	26.5	151.0	255.0	203.57894736842104	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34558	1033	120	25.0	151.0	254.0	187.97142857142856	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34549	2749	82	12.5	155.0	255.0	211.60000000000002	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34549	1036	114	14.0	151.0	255.0	208.36363636363637	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34553	2748	85	14.5	151.0	192.0	169.5909090909091	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34553	1035	117	11.5	152.0	255.0	200.33333333333331	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34552	2748	84	18.0	153.0	217.0	181.2222222222222	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34552	1035	116	10.5	152.0	255.0	206.1052631578947	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34556	2746	86	24.0	152.0	255.0	204.35294117647058	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34556	1034	119	24.0	152.0	235.0	190.4722222222222	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34555	2746	85	20.0	151.0	249.0	195.3793103448276	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34555	1034	118	23.0	151.0	239.0	187.11764705882354	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34557	2746	87	24.0	151.0	255.0	205.9142857142857	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34557	1034	120	23.0	151.0	254.0	198.35294117647058	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34559	2745	87	21.0	166.0	255.0	208.16129032258064	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34559	1032	121	31.0	154.0	229.0	186.92857142857142	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34554	2747	85	20.5	153.0	229.0	189.7	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34565	2740	88	33.0	151.0	255.0	205.15217391304347	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34565	1028	121	22.0	157.0	244.0	188.625	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34574	2726	83	27.0	151.0	255.0	201.66666666666666	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34574	1015	117	36.0	151.0	237.0	188.70833333333331	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34568	2736	86	19.0	151.0	255.0	206.5806451612903	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34568	1024	120	32.0	151.0	255.0	204.43478260869566	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34571	2731	85	28.0	152.0	207.0	177.78947368421052	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34571	1020	118	21.5	151.0	193.0	170.91176470588235	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34570	2734	86	26.0	151.0	255.0	213.40540540540542	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34570	1022	121	31.5	151.0	255.0	203.30232558139534	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34573	2729	84	28.5	152.0	255.0	199.56410256410257	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34573	1018	118	34.5	151.0	255.0	199.59574468085106	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34572	2730	85	27.0	155.0	255.0	201.0	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34572	1019	118	31.5	151.0	254.0	200.30232558139534	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34562	2743	87	30.0	153.0	254.0	192.8048780487805	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34562	1030	120	33.5	151.0	221.0	182.51111111111112	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
34567	2737	88	29.5	152.0	255.0	213.14285714285714	/Users/oakley/Desktop/VideoAnalysis/PuertoMorelos_13Mar2025_FM_LE_GXU/out_11.mp4
