frame	cX	cY	area	minI	maxI	meanI	video
15490	570	29	1.5	126.0	177.0	247.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15491	570	30	3.5	123.0	179.0	249.25	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15496	570	29	2.0	124.0	177.0	246.14285714285714	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15494	570	30	3.5	123.0	179.0	249.25	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15493	570	30	3.5	123.0	179.0	249.25	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15495	570	30	3.5	123.0	179.0	249.25	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15492	570	30	3.5	123.0	179.0	249.25	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15543	570	31	1.5	125.0	149.0	102.80000000000001	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15539	570	31	1.5	131.0	164.0	136.4	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15541	570	31	1.5	121.0	164.0	140.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15546	570	31	1.5	114.0	146.0	46.400000000000006	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15544	570	31	1.5	125.0	149.0	102.80000000000001	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
15545	568	11	1.5	134.0	178.0	247.60000000000002	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/10Apr25/Experimental/041025PA_experimental_part03.mp4
