frame	cX	cY	area	minI	maxI	meanI	video
26849	468	162	2.0	122.0	177.0	245.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26855	469	163	11.5	115.0	179.0	244.57894736842104	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26854	469	163	11.5	124.0	179.0	246.52631578947367	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26853	469	162	11.0	117.0	179.0	240.05555555555554	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26850	468	163	6.0	114.0	179.0	242.0909090909091	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26848	467	161	2.5	112.0	148.0	179.83333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26852	469	163	8.5	113.0	179.0	238.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26851	468	163	7.5	116.0	179.0	248.57142857142856	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26860	470	162	9.0	115.0	178.0	244.625	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26861	470	162	9.0	117.0	179.0	246.8125	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26863	470	161	6.5	119.0	175.0	252.25	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26857	470	162	6.5	131.0	179.0	253.92307692307693	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26858	470	162	7.5	114.0	178.0	248.07142857142856	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26862	470	162	9.0	117.0	179.0	246.8125	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26856	469	162	10.0	139.0	178.0	247.2941176470588	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26859	470	162	7.5	114.0	178.0	248.07142857142856	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26865	471	161	7.0	128.0	179.0	246.6923076923077	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26869	472	161	3.0	124.0	177.0	240.375	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26866	471	161	10.0	115.0	179.0	226.05882352941177	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26871	472	160	3.0	114.0	176.0	222.28571428571428	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26864	471	161	7.5	127.0	178.0	239.64285714285714	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26867	471	161	6.0	116.0	169.0	220.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
26870	472	161	5.5	115.0	178.0	243.63636363636365	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/15Apr25/041525PA_experimental/041525PA_experimental_part04.mp4
