frame	cX	cY	area	minI	maxI	meanI	video
5297	864	490	1.5	115.0	137.0	136.8	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5298	864	490	2.5	112.0	140.0	142.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5308	1307	446	1.5	114.0	142.0	150.6	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5316	1308	447	3.0	111.0	143.0	206.625	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5310	1308	446	4.0	119.0	156.0	224.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5315	1308	447	3.0	116.0	148.0	222.125	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5314	1308	447	4.0	111.0	153.0	232.77777777777777	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5313	1308	447	5.0	112.0	156.0	227.9	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5312	1308	447	6.0	115.0	159.0	213.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5311	1308	447	6.0	111.0	157.0	215.41666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
5309	1308	446	3.0	114.0	148.0	186.28571428571428	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6120	1362	436	2.0	111.0	153.0	144.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6117	1362	436	2.0	111.0	153.0	144.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6204	1362	436	2.0	126.0	155.0	158.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6206	1361	436	2.0	111.0	136.0	172.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6205	1361	436	2.0	111.0	136.0	172.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6215	1362	436	2.0	114.0	146.0	142.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6217	1362	436	2.0	111.0	145.0	136.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6213	1361	436	2.0	111.0	141.0	164.83333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6214	1362	436	2.0	114.0	146.0	142.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6216	1362	436	2.0	114.0	146.0	142.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6715	1124	443	2.0	112.0	133.0	189.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6869	637	400	1.5	112.0	138.0	197.60000000000002	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6868	636	400	4.0	112.0	169.0	207.625	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
6867	636	400	4.0	115.0	168.0	190.75	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
8370	1054	467	1.5	111.0	141.0	192.20000000000002	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
8369	1054	468	3.0	115.0	155.0	200.75	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
8368	1054	467	4.5	115.0	154.0	196.9	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
9096	1105	528	2.5	112.0	153.0	194.7142857142857	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
9093	1106	526	1.5	114.0	143.0	179.83333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
10034	570	474	1.5	111.0	134.0	156.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
10549	887	405	2.0	113.0	133.0	162.60000000000002	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
10551	887	406	2.0	111.0	135.0	156.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
10558	890	408	2.0	112.0	148.0	198.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11191	657	374	2.5	111.0	157.0	189.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11189	656	374	2.0	115.0	151.0	169.16666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11193	657	374	3.5	115.0	161.0	220.75	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11190	657	374	2.0	119.0	154.0	184.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11192	657	374	3.5	111.0	160.0	209.5	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11188	656	374	2.5	113.0	150.0	178.42857142857142	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11198	657	374	5.5	114.0	168.0	229.27272727272728	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11196	657	374	4.5	115.0	171.0	222.20000000000002	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11197	657	374	5.5	114.0	168.0	229.27272727272728	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11194	657	374	5.5	111.0	168.0	223.72727272727272	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11199	657	374	5.5	114.0	168.0	229.27272727272728	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11200	657	374	5.5	115.0	172.0	236.72727272727275	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11195	657	374	5.5	111.0	168.0	223.72727272727272	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11204	657	374	5.5	118.0	170.0	235.27272727272728	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11206	657	374	5.5	114.0	171.0	234.1818181818182	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11201	657	374	6.5	112.0	171.0	237.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11207	657	374	5.5	111.0	171.0	234.54545454545456	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11203	657	374	6.5	112.0	171.0	238.33333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11205	657	374	6.5	112.0	173.0	240.83333333333331	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11202	657	374	6.5	112.0	171.0	237.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11209	657	374	4.5	119.0	170.0	228.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11210	657	374	4.5	116.0	169.0	224.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11214	657	374	4.0	118.0	165.0	210.66666666666666	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11211	657	374	4.0	122.0	165.0	212.77777777777777	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11212	657	374	4.0	122.0	166.0	218.77777777777777	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11213	657	374	4.0	120.0	165.0	215.55555555555554	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11208	657	374	4.5	123.0	172.0	230.8	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11215	657	374	4.0	115.0	163.0	208.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11217	658	374	2.0	122.0	156.0	193.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11219	658	374	2.0	115.0	151.0	193.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11221	658	374	2.0	122.0	156.0	193.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11216	657	374	4.0	111.0	163.0	203.77777777777777	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
11220	658	374	2.0	122.0	156.0	193.0	/home/local/ADS/oakley/labdata/users/McKinley/Panama2025/11oct25/11oct2025_C/11oct2025_C_part001.mp4
